year,performing_country,total_score,place,str,switzerland,denmark,france,germany,netherlands,austria,italy,united_kingdom,belgium,sweden,norway,finland,spain,portugal,ireland,malta,israel,greece,turkey,cyprus,iceland,slovenia,bosnia_and_herzegovina,croatia,estonia,romania,slovakia,lithuania,hungary,russia,poland,macedonia,latvia,ukraine
1998,ireland,64,9,final,2,0,0,2,0,0,0,8,0,1,4,0,0,1,0,6,0,0,8,0,0,1,0,2,2,8,4,0,6,0,2,7,0,0
1998,portugal,36,12,final,0,0,10,0,0,0,0,0,1,0,0,0,6,0,0,2,2,1,6,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0
1998,romania,6,22,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,united_kingdom,166,2,final,3,0,3,1,7,0,0,0,6,7,5,8,3,6,5,8,12,7,12,8,0,5,0,12,8,12,1,0,10,0,7,10,0,0
1998,cyprus,37,11,final,0,0,0,0,0,0,0,3,2,0,0,0,0,4,0,1,1,12,0,0,0,0,0,4,0,4,5,0,1,0,0,0,0,0
1998,netherlands,150,4,final,7,0,5,6,0,0,0,10,12,8,8,7,4,7,10,7,8,8,7,0,0,0,0,10,0,0,6,0,12,0,5,3,0,0
1998,sweden,53,10,final,0,0,0,0,5,0,0,1,0,0,10,6,0,0,2,4,0,0,2,0,0,0,0,0,12,0,0,0,8,0,3,0,0,0
1998,belgium,122,6,final,4,0,7,4,10,0,0,7,0,2,7,0,7,8,7,3,5,4,1,6,0,6,0,0,6,0,7,0,3,0,12,6,0,0
1998,finland,22,15,final,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0
1998,norway,79,8,final,1,0,0,3,3,0,0,4,4,12,0,2,8,3,4,5,4,0,0,3,0,10,0,0,4,0,0,0,5,0,4,0,0,0
1998,estonia,36,12,final,0,0,0,0,2,0,0,0,0,4,0,12,2,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,4,0,1,0,0,0
1998,turkey,25,14,final,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,5,0,0
1998,macedonia,16,19,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,3,0,0,0,0,0,0,0
1999,lithuania,13,20,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0
1999,belgium,38,12,final,0,0,2,0,10,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,4,5,0,0,0,0,0,2,0,0,0
1999,spain,1,23,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
