year,table_label,country,broadcaster,channel_s,commentator_s,broadcaster_8,broadcaster_21,show_s,country_territory,ref_s
1960,broadcasts | Broadcasts [2],Netherlands Antilles,RNW,RNW,,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Austria,ORF,ORF,,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Belgium,BRT,BRT,Nic Bal,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Belgium,RTB,RTB,Robert Beauvais,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Denmark,DR,"Danmarks Radio TV, Program 1",Sejr Volmer-Sørensen,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Finland,YLE,"Suomen Televisio, Yleisohjelma",Aarno Walli,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],France,RTF,"RTF, France I",Robert Beauvais,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Germany,ARD,Deutsches Fernsehen,Wolf Mittler,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Italy,RAI,"RAI Televisione, Secondo Programma",Corrado Mantoni,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Luxembourg,CLT,Télé-Luxembourg,Robert Beauvais,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Monaco,"Télé Monte-Carlo, Radio Monte Carlo","Télé Monte-Carlo, Radio Monte Carlo",Robert Beauvais,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Netherlands,NTS,NTS,Piet te Nuyl Jr.,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Netherlands,VARA,Hilversum 1,Coen Serré,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Norway,NRK,"NRK Fjernsynet, NRK",Leif Rustad,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Spain,TVE,TVE,Federico Gallo,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Spain,RNE,RNE,,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Sweden,SR,"Sveriges TV, SR P1",Jan Gabrielsson,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TV DRS, Radio Bern",,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Switzerland,SRG SSR,TSR,Robert Beauvais,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TSI, Radio Monte Ceneri",,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Sottens,,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],United Kingdom,BBC,BBC TV,Tom Sloan,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Yugoslavia,JRT,"Televizija Beograd, Radio Beograd 1, Televizija Ljubljana, Televizija Zagreb",Saša Novak,NA,NA,NA,NA,NA
1961,broadcasts | Broadcasts [1],Yugoslavia,JRT,Radio Ljubljana 2,,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],Austria,ORF,ORF,,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],Belgium,RTB,RTB,,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],Belgium,BRT,BRT,Willem Duys,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],Denmark,DR,"Danmarks Radio TV, Program 2",Ole Mortensen,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],Finland,YLE,Suomen Televisio,Aarno Walli,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],Finland,YLE,Yleisohjelma,Erkki Melakoski,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],Finland,YLE,Ruotsinkielinen yleisohjelma,Jan Sederholm,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],France,RTF,RTF,Pierre Tchernia,NA,NA,NA,NA,NA
1962,broadcasts | Broadcasts [1],France,RTF,France I,,NA,NA,NA,NA,NA
